Article Id,Article Title,Answer,Topic,Public,Created Time,Modified Time
422353000005628117,Printing to Adobe PDF,"The Adobe PDF is a common file format. On most computers, if you can print a page to a printer, you should be able to print that same page to a PDF file. Here is an info page on printing to PDF files: https://helpx.adobe.com/acrobat/using/print-to-pdf.html",General,True,2019-08-12 01:16:11,2019-08-14 23:22:23
422353000005628357,Viewing/printing your order history,"First log in to the Zur Institute web site , using the [Sign In] link at the top right. This will take you to your personal profile, where your purchased courses can be viewed. To see your order history, click on [My Account - Order History] , specify the date range in the drop-down list that appears, then click the [Actions] button to view or email your order(s). Here is a screen shot of the profile page:",General,True,2019-08-22 03:54:03,2019-08-22 03:59:52
422353000005628393,Can't complete purchase,""" The 15005 response code means that the transaction was declined by the cardholder's issuing bank. The buyer will have to call his or 
her issuer for further information, as banking privacy regulations 
prevent the issuer from sharing the decline reason with third parties. The recommended handling path for this error is to inform the buyer 
that the transaction has been declined, he or she should contact his or 
her credit card issuer for details on the reason the transaction was 
declined, and that he or she should use an alternative funding source 
for the transaction. Note: Some cards may be blocked from online transactions, or even 
cross border (international) transactions. We recommend credit card 
holder to call the card issuing bank to find out the real reason.""",General,True,2019-09-30 21:35:21,2020-04-28 09:24:15
422353000005628401,What is your APA Provider number,"The American Psychological Association (APA) does not issue provider #s. However, Zur Institute, Inc. is approved by the APA, and as such have permission to post the following on our Board Approvals page at https://www.zurinstitute.com/licensing-board-approvals/#psychologists : ""Zur Institute, Inc. is approved by the American Psychological Association (APA) to
 sponsor continuing education for psychologists. Zur Institute, Inc. 
maintains responsibility for this program and its content."" You will also see: "" NOTE: While the APA CESA office does not have a list of states that 
accept CE credit for APA-approved sponsors such as Zur Institute, Inc., 
they have a fully updated list of APA-approved sponsors . Questions pertaining to state licensure should be directed to your state licensing boards."" If you click the link for APA-approved sponsors and search for Zur, you will find us on their list.",General,True,2019-11-21 21:38:16,2021-09-23 20:59:16
422353000005628405,Reporting and CEBroker,"Hello, Thank
          you for completing your continuing education courses with Zur Institute. Every two weeks, we check for license
          numbers in states that we report to directly.  Florida is
          one of those states, along with Arizona Psychologists and Kansas Social Workers. Please ensure that your full license number, exactly as it appears on your license, is correctly entered in your Zur Institue account to avoid any delays when 
submitting completions to CE Broker. If the system does not recognize your license number, it will reject the submission.",General,True,2020-02-04 05:46:47,2025-03-19 04:04:24
422353000008056001,Does the Certificate Program in TeleMental Health make counselors a Certified Telemental Health Professional?,"Finishing the certificate program indicates the learner has successfully
 completed the requirements set forth by Zur Institute to be certified 
in Telemental Health.",General,True,2020-10-07 00:06:24,2020-10-07 00:08:33
422353000009916082,Are you CACREP accredited?,"All of our board approvals can be found at https://www.zurinstitute.com/licensing-board-approvals/ From CACREP's website https://www.cacrep.org/: CACREP accredits master’s and doctoral degree programs in counseling and
 its specialties that are offered by colleges and universities in the 
United States and throughout the world. We do not offer degrees nor are we a college
 or university. We are an approved provider of continuing education 
courses for keeping licenses current once you have your degree.",General,True,2020-12-28 01:43:00,2020-12-28 01:43:42
422353000017282079,"Navigating Courses in My Account - course materials, posttest, evaluations, cert of completions","First, sign in to your account at https://ce.zurinstitute.com/attendee/mycme/mycme.jsp (upper right hand link in our site all pages) using your email and 
password you created. You will land in your account at ""My Courses"". 
Find the course you 
want to start first and click the button that says""Begin"" or ""Resume"". 
This will 
take you either 
to the Course Materials page or the Posttest depending on where you are 
in the process. If it takes you to the Course Materials, clicking the 
links will bring up new tabs or windows in your browser. For all audios,
 there are links that say ""for text transcript, click here"" for text 
based articles. To access your 
posttest,  look at the bottom of the Course Materials page for the 
""Continue"" link. When you are in the posttest, you can always access 
your course materials again by clicking the link near the top that 
states: ""To review course materials, click here"". If you leave the 
course for any reason and you have any answers completed on your posttest, 
there is an auto-save function in the posttest that should always save 
your answers. However , I always suggest that you click Save at the bottom of the 
posttest. After you pass the posttest, continue on 
(and on) through the prompts to complete the evaluations and you will 
finally be presented with your certificate of completion.",General,True,2021-09-22 19:37:42,2021-09-22 19:40:48
422353000026352528,Where can I find the Clinical Forms that I just purchased?,"Once you have purchased your desired Clinical Forms there
will be a link that appears near the top of the page that says Download your
files. Click on that link to open your files. To retrieve your forms at a later date, login to your account and go to the Private Practice Forms. Click on Learn More and you will be directed to the page to download your files.",General,True,2022-06-23 23:28:40,2025-03-17 02:54:56
422353000033147037,IBCCES,"Hello, IBCCES has accepted Zur Institute as an alternative for the CEU requirement for the Certified Autism Specialist™ and Autism Certificate programs. You can see the courses that are approved here, https://www.zurinstitute.com/course-catalog/certificate-programs/#certificate-program-in-autistic-spectrum-disorder-2 . The training that we provide does not include the credential. You will have to purchase the Certification program from IBCCES in order to be considered certified. If you are interested, we can offer you a 10% discount partner code. After you have completed our training, you can use the 10% discount towards your IBCCES credential. Links to IBCCES credentials: Certified Autism Specialist Autism Certificate Please let me know if you have any questions. Thank you & have a great day!",General,False,2022-12-11 22:42:36,2022-12-11 22:43:02
422353000050653003,Course FAQ,Below are short tutorials to the FAQ about our courses. My Courses Overview: My Courses Overview (vimeo.com) Accessing Course Content: https://vimeo.com/823296270/0223d617e3 Courses in a Certificate Program: https://vimeo.com/816683457/aca5a74e2e Printing a Posttest: https://vimeo.com/823296320/a67fd4591a Printing a Certificate of Completion: https://vimeo.com/823296351/34187bba5f,General,True,2024-01-08 22:51:51,2024-01-22 22:44:37
422353000005628115,Changing your password,"Click the https://www.zurinstitute.com/reset-password/ l ink in the middle of the login page. Then click on ""Forgot Password"" and enter the email address you used on previous registrations and click ""Submit"". The program will email you immediately send you a reset password email. If you should need further assistance, please contact our support team. support@zurinstitute.com Login video https://vimeo.com/706274855/ 18e29755d2",Login/Access,True,2019-08-10 09:01:26,2022-05-08 23:24:04
422353000005628141,How do I become a member of the Zur institute to take online courses?,You must first create a Free Account. Once you have created an account you can register for your desired course. Sign Up – Zur Institute,Login/Access,True,2019-08-12 12:36:49,2022-07-24 07:41:31
422353000005628387,Accessing purchased courses,"To access your course that you purchased, click the ""Log In"" link in the upper right on any of our pages. If you have forgotten your password, click on ""I forgot my password."" My Courses overview: https://vimeo.com/805181127/56b8863fd3 When
 you have signed in and are in ""My Courses"", find your course and click
 the button that says ""Resume"". You will see Three sections for your material: 1. Not Started Courses 2. In Progress 3. Completed Courses To access Certificates in your Completed Courses, click on ""Review and Access Certificate."" Please download Certificate and ensure all information is correct. If it is not, contact our support team.",Login/Access,True,2019-09-16 05:20:23,2023-03-09 01:16:28
422353000005628391,How do I sign into my account to access my account on the new website?,"If you are an existing customer, you will be asked to complete a one-time password reset, and then verify your information. Please do not create a new account as a new account will not contain your existing courses and learning history. Login video: https://vimeo.com/706274855/18e29755d2 Once this has been done, it is very important that you update your profile to ensure your license information will read correctly on your cetifiacte. *If you do not receive a password reset email, please contact our customer support.",Login/Access,True,2019-09-24 01:09:02,2022-05-08 23:34:44
422353000005628121,Having difficulty applying purchased tokens,"Exceptions to using tokens from the
          tokens page at https://www.zurinstitute.com/homeonlinepkgs-selfselect/: Record Keeping (6 CE Credit Hours) includes 60 Essential Clinical Forms and requires 11 Tokens . NOT valid on the following: Upcoming Events & Webinars Pre-Licensing Courses Savings Packages Certificate Programs Webinar Courses COVID-19 & Private Practice course Digital and Social Media Ethics course New York State Professional Ethics For Psychologists Autism in Females: Overlooked & Underserved In order to use the tokens that you have
          already purchased for all other courses, click on a course
          title that you wish to order and add it to your basket. At the TOP of your basket it will show
          you the option to apply existing tokens and how many it takes.
          You will see: Apply Existing Tokens Apply xx.0 Tokens of my
            total (xx.0) token balance to access this course. Then click [Apply Tokens]",Tokens/Discounts,True,2019-08-12 08:33:07,2021-10-10 20:59:01
422353000005628123,Do you offer a military discount?,"We do offer a military discount. Just use MIL88 on
      checkout to receive a 15% discount on courses at Zur Institute.",Tokens/Discounts,True,2019-08-12 11:39:05,2022-02-02 21:48:26
